IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Kerosene,HOUSEHOLDCOOKINGFUEL_FUEL_KEROSENE,,,,,,,0,,,0,,3.2,0 [0 - 3.2],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Gas,HOUSEHOLDCOOKINGFUEL_FUEL_GAS,,,,,,,0.1,,,0,,1.2,0.1 [0 - 1.2],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Kerosene,HOUSEHOLDCOOKINGFUEL_FUEL_KEROSENE,,,,,,,0.1,,,0,,1.4,0.1 [0 - 1.4],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Gas,HOUSEHOLDCOOKINGFUEL_FUEL_GAS,,,,,,,0.1,,,0,,1.4,0.1 [0 - 1.4],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Kerosene,HOUSEHOLDCOOKINGFUEL_FUEL_KEROSENE,,,,,,,0.1,,,0,,1.7,0.1 [0 - 1.7],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Gas,HOUSEHOLDCOOKINGFUEL_FUEL_GAS,,,,,,,0.1,,,0,,2.2,0.1 [0 - 2.2],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Electricity,HOUSEHOLDCOOKINGFUEL_FUEL_ELECTRICITY,,,,,,,0.4,,,0,,3.8,0.4 [0 - 3.8],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Charcoal,HOUSEHOLDCOOKINGFUEL_FUEL_CHARCOAL,,,,,,,2.5,,,0,,11.1,2.5 [0 - 11.1],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Charcoal,HOUSEHOLDCOOKINGFUEL_FUEL_CHARCOAL,,,,,,,24.5,,,10.5,,44,24.5 [10.5 - 44],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Electricity,HOUSEHOLDCOOKINGFUEL_FUEL_ELECTRICITY,,,,,,,28,,,13.8,,45.3,28 [13.8 - 45.3],,,EN,2024-08-02T04:00:00.000Z
